book,[ buk ],书
play soccer,[plei]['sɔkə],踢足球
dance,[dɑ:ns],跳舞
be going to,[bi:]['gəuiŋ][tu:],计划……；打算……
living room,['liviŋ][ru:m],客厅
dining room,['dainiŋ][ru:m],餐厅
kitchen,['kitʃin],厨房
bedroom,['bedrum],卧室
study,['stʌdi],书房
bathroom,['bɑ:θru:m],浴室；洗手间
balcony,['bælkəni],阳台
garage,[gə'rɑ:ʒ; 'gærɑ:ʒ],车库
people,['pi:pl],人；人们
grandfather,"['grænd,fɑ:ðə]",祖父
grandmother,"['grænd,mʌðə]",祖母
cousin,['kʌzən],堂表兄弟；堂表姊妹
cook,[kuk],厨师
waiter,['weitə],服务员
dentist,['dentist],牙医
nurse,[nə:s],护士
manager,['mænidʒə],经理
taxi-driver,['tæksi]['draivə],出租汽车司机
feed the fish,[fi:d][ðə][fiʃ],喂鱼
wash clothes,[wɔʃ][kləuðz],洗衣服
water the flowers,['wɔ:tə][ðə]['flauəz],浇花
cook the chicken,[kuk][ðə]['tʃikin],烹饪鸡
clean the kitchen,[kli:n][ðə]['kitʃin],打扫厨房
talk on the phone,[tɔ:k][ɔn][ðə][fəun],打电话
watch TV,[wɔtʃ]['ti:'vi:],看电视
listen to music,['lisn][tu:]['mju:zik],听音乐
walk the dog,[wɔ:k][ðə][dɔg],遛狗
grandparents,[grænd'perənts],祖父母
invitation,"[,invi'teiʃən]",邀请卡
crayon,['kreiən],蜡笔
scissors,['sizəz],剪刀
pen,[pen],钢笔
glue,[glu:],胶水
paper,['peipə],纸
party,['pɑ:ti],聚会
get ready,[get]['redi],准备好
draw,[drɔ:],画
cut,[kʌt],剪切
stick,[stik],粘贴
write,[rait],写，写字
first,[fə:st],首先，第一
next,['nekst],其次
then,[ðen],然后，于是
finally,['fainəli],最后
with,[wið],用......
practice,['præktis],练习
sport,[spɔ:t],运动
game,[geim],比赛，竞赛
jogging,['dʒɔgiŋ],慢跑
hiking,['haikiŋ],徒步旅行
tennis,['tenis],网球，网球运动
cycling,['saikliŋ],自行车赛
hockey,['hɔki],曲棍球
baseball,['beisbɔ:l],棒球，棒球运动
also,['ɔ:lsəu],也，同样
sometimes,['sʌmtaimz],有时
often,['ɔ:fn],经常
concert,['kɔnsət],音乐会
drive,[draiv],开车
puzzle,['pʌzl],智力玩具，拼图玩具
weekend,['wi:kend],周末
exciting,[ik'saitiŋ],激动人心的
cool,[ku:l],棒极了
just,[dʒʌst],只是
so-so,['səusəu],平常的
downstairs,['daun'stɛəz],在楼下
touch,[tʌtʃ],触摸
climb,[klaim],攀爬
careful,['kɛəful],小心的
dangerous,['deindʒərəs] ,危险的
sidewalk,['saidwɔ:k],人行道
underpass,['ʌndəpɑ:s],地下通道
footbridge,['futbridʒ],人行桥
crosswalk,crosswalk,人行横道
fence,[fens],护栏
use,[ju:s],使用
safe,[seif],安全的
cross,[krɔs],穿越
stop,[stɔp],停止
rule,[ru:l],规则
pass,[pæs],传递
help,[help],帮助
dictionary,['dikʃənəri],字典
eraser,[i'reisə],橡皮
ruler,['ru:lə],尺子
Unit 7 Jobs,,工作职业
cook,[kuk],厨师
mailman,['meilmæn],邮递员
salesclerk,['seilzklə:k],售货员
hairdresser,['hɛədresə],理发师
